rider_id,segment,start_week_of_tenure,tenure_days,week_of_churn,days_since_last_slot,is_churned,churn
2664450,active,2025-04-28,383,,0,0,0
2664459,active,2025-09-22,238,2026-02-16,88,1,1
2664472,active,2025-03-10,435,2026-02-09,95,1,1
2664474,newbie,2026-04-27,20,2026-04-27,19,1,1
2664479,active,2025-03-10,435,2026-04-20,25,1,1
2664484,active,2025-03-10,437,,0,0,0
2664490,active,2025-03-10,435,,0,0,0
2664498,active,2025-08-25,265,,0,0,0
2664501,active,2025-03-10,437,2026-02-16,90,1,1
2664502,active,2025-07-28,294,2026-02-09,95,1,1
2664507,active,2025-03-17,430,2026-03-02,74,1,1
2664511,active,2025-03-10,436,2026-03-30,46,1,1
2664525,active,2025-10-20,209,,0,0,0
2664533,active,2025-03-10,437,2026-03-02,75,1,1
2664551,active,2025-03-10,437,,0,0,0
2664558,active,2025-03-10,437,2026-03-09,67,1,1
2664565,active,2025-05-26,356,2026-01-26,111,1,1
2664586,active,2025-07-28,293,,4,0,0
2664588,active,2025-12-01,171,,13,0,0
2664613,newbie,2026-05-04,11,,1,0,0
2664620,active,2025-03-10,436,2026-02-23,81,1,1
2664635,active,2025-03-10,432,2026-04-27,18,1,1
2664638,active,2025-03-10,437,,0,0,0
2664644,active,2025-03-10,437,,0,0,0
2664649,active,2025-03-10,437,,0,0,0
2664671,active,2025-03-10,437,,1,0,0
2664691,active,2025-03-10,435,2026-02-09,95,1,1
2664697,newbie,2026-05-11,8,,4,0,0
2664708,active,2026-03-23,58,2026-03-23,53,1,1
2664731,active,2025-10-06,227,,0,0,0
2664737,active,2025-03-10,437,,0,0,0
2664750,active,2025-03-10,437,,0,0,0
2664757,active,2025-11-24,176,2026-04-20,27,1,1
2664758,active,2025-03-24,418,,0,0,0
2664768,active,2025-05-05,377,2026-04-06,39,1,1
2664779,active,2025-03-10,436,,0,0,0
2664792,active,2025-11-03,195,2026-04-13,37,1,1
2664810,active,2025-03-10,437,2026-02-16,88,1,1
2664828,active,2025-03-10,436,2026-03-30,49,1,1
2664858,active,2025-03-31,411,2026-03-09,69,1,1
2664865,active,2026-03-16,66,2026-04-06,42,1,1
2664876,active,2025-08-11,283,,0,0,0
2664877,active,2025-03-10,436,,0,0,0
2664896,active,2025-03-31,414,,0,0,0
2664903,active,2025-03-10,436,,0,0,0
2664909,active,2025-03-24,422,2026-01-19,117,1,1
2664925,active,2025-05-19,365,,2,0,0
2664928,active,2025-09-22,237,,5,0,0
2664939,active,2025-03-10,432,2026-02-23,81,1,1
2664951,active,2025-03-10,433,,4,0,0
2664969,active,2025-03-10,437,,0,0,0
2664975,active,2025-03-10,436,2026-02-16,92,1,1
2664980,active,2025-03-10,435,,0,0,0
2664982,active,2025-03-10,437,,8,0,0
2664985,active,2025-03-10,437,2026-03-02,74,1,1
2665020,active,2025-03-10,435,2026-01-05,130,1,1
2665026,active,2025-03-10,437,2026-01-05,133,1,1
2665031,active,2025-03-10,435,2026-03-16,60,1,1
2665032,active,2026-02-16,93,,11,0,0
2665038,active,2025-03-10,437,,0,0,0
2665040,active,2025-03-10,433,,4,0,0
2665043,active,2025-03-10,437,2026-02-09,97,1,1
2665065,active,2025-03-10,437,,1,0,0
2665072,active,2026-01-05,132,2026-02-09,101,1,1
2665077,active,2025-04-28,386,2026-03-02,74,1,1
2665089,active,2025-03-10,437,,6,0,0
2665092,active,2026-01-19,118,2026-02-09,97,1,1
2665099,active,2025-03-10,435,2026-03-16,60,1,1
2665103,active,2025-03-10,437,,8,0,0
2665111,active,2025-03-10,437,,0,0,0
2665122,active,2025-03-10,437,,0,0,0
2665138,active,2025-03-10,437,2026-02-23,86,1,1
2665146,active,2025-03-10,433,2026-04-13,32,1,1
2665149,active,2025-03-10,437,2026-02-09,95,1,1
2665159,active,2025-03-10,437,2026-04-06,39,1,1
2665168,active,2025-03-10,435,,1,0,0
2665177,active,2025-03-10,437,,0,0,0
2665179,active,2025-12-22,148,,4,0,0
2665184,active,2025-03-10,434,,0,0,0
2665186,active,2025-03-10,436,,0,0,0
2665193,active,2026-02-16,91,2026-04-06,40,1,1
2665194,active,2026-04-06,41,,2,0,0
2665198,active,2025-12-29,139,2026-01-05,132,1,1
2665206,active,2025-03-10,437,2026-01-26,114,1,1
2665251,active,2025-03-10,437,2026-01-19,120,1,1
2665259,active,2025-03-10,437,2026-03-02,74,1,1
2665285,active,2025-03-10,437,2025-12-29,137,1,1
2665297,active,2025-03-10,436,2026-03-02,74,1,1
2665300,active,2025-03-10,436,,0,0,0
2665302,active,2025-03-10,436,2026-03-23,53,1,1
2665304,active,2025-03-10,437,2026-04-13,32,1,1
2665305,active,2025-03-17,429,,0,0,0
2665306,active,2025-03-10,437,2026-02-23,83,1,1
2665312,active,2025-03-10,436,2026-01-05,134,1,1
2665318,active,2025-03-10,436,2026-01-19,116,1,1
2665355,newbie,2026-05-04,14,,0,0,0
2665361,active,2025-03-10,432,,1,0,0
2665369,active,2025-03-10,434,2026-04-20,25,1,1
2665375,active,2025-05-12,372,2026-02-09,96,1,1
2665381,active,2025-03-10,437,,11,0,0
2665400,active,2025-03-10,437,2026-04-20,25,1,1
2665430,active,2025-03-10,437,2026-03-02,79,1,1
2665433,active,2025-03-17,425,,1,0,0
2665434,active,2025-03-10,433,2026-04-20,25,1,1
2665435,active,2025-03-10,437,,4,0,0
2665441,active,2026-03-09,70,2026-04-27,23,1,1
2665456,active,2025-03-17,426,,0,0,0
2665479,active,2025-08-18,274,,0,0,0
2665497,active,2025-03-10,436,2026-04-27,18,1,1
2665504,active,2025-03-10,437,,6,0,0
2665509,active,2025-04-21,390,2026-03-02,80,1,1
2665537,active,2025-04-07,404,,0,0,0
2665544,active,2025-03-10,436,,1,0,0
2665572,active,2025-05-19,361,2026-01-19,116,1,1
2665579,active,2025-03-10,437,2026-04-13,33,1,1
2665605,active,2025-03-10,437,,0,0,0
2665617,active,2025-03-10,431,,4,0,0
2665621,active,2025-03-10,436,,0,0,0
2665629,active,2025-03-10,433,2026-04-06,39,1,1
2665635,active,2025-04-28,382,2026-03-02,74,1,1
2665643,active,2025-03-10,437,2026-01-05,135,1,1
2665650,active,2025-09-22,238,2026-03-23,54,1,1
2665659,active,2025-04-07,407,,1,0,0
2665662,active,2025-03-10,437,,9,0,0
2665680,active,2025-03-17,426,,0,0,0
2665682,active,2025-10-13,220,,0,0,0
2665684,active,2025-03-10,437,2026-01-12,129,1,1
2665687,active,2025-05-05,381,,1,0,0
2665707,active,2025-03-10,436,,3,0,0
2665712,active,2025-03-10,437,2026-04-06,40,1,1
2665725,active,2025-03-10,437,2026-04-20,25,1,1
2665731,active,2026-02-23,86,2026-03-23,59,1,1
2665742,active,2025-10-20,210,,0,0,0
2665744,active,2025-03-24,419,2026-02-02,102,1,1
2665747,active,2025-03-10,437,,0,0,0
2665749,active,2025-03-10,435,,1,0,0
2665768,newbie,2026-05-18,1,,0,0,0
2665788,active,2025-05-12,369,2026-01-12,125,1,1
2665811,active,2025-03-17,428,,0,0,0
2665816,active,2025-03-10,437,,0,0,0
2665822,active,2025-03-10,434,,0,0,0
2665843,active,2025-06-16,335,,10,0,0
2665847,active,2026-01-05,133,2026-01-05,132,1,1
2665863,active,2025-12-29,142,,0,0,0
2665866,active,2025-08-04,287,2026-02-23,86,1,1
2665871,active,2025-05-05,379,,1,0,0
2665876,active,2025-10-27,205,2026-03-30,51,1,1
2665891,active,2025-03-10,437,,8,0,0
2665899,active,2025-12-22,145,2026-03-16,60,1,1
2665902,active,2025-03-10,432,2026-03-30,47,1,1
2665929,active,2026-03-30,47,2026-04-13,38,1,1
2665930,active,2025-05-12,371,2026-01-05,136,1,1
2665967,active,2025-03-10,432,2026-03-02,80,1,1
2665969,active,2025-03-10,436,2026-04-27,24,1,1
2665972,active,2025-03-10,437,2026-01-12,123,1,1
2665976,active,2025-03-10,437,,0,0,0
2666034,active,2025-12-22,149,2026-02-02,104,1,1
2666038,active,2025-04-07,407,,1,0,0
2666050,active,2025-03-10,437,2026-01-26,109,1,1
2666058,active,2025-03-10,431,,13,0,0
2666062,active,2025-07-07,317,,0,0,0
2666065,active,2025-08-18,273,,0,0,0
2666076,active,2025-03-10,437,,0,0,0
2666094,active,2025-03-10,437,,3,0,0
2666108,active,2026-04-13,34,,0,0,0
2666146,active,2025-03-10,437,2026-03-16,60,1,1
2666148,active,2025-03-10,437,2026-02-16,88,1,1
2666152,active,2025-03-10,436,2026-04-13,37,1,1
2666159,active,2025-03-10,437,,4,0,0
2666172,newbie,2026-05-04,16,,0,0,0
2666202,active,2025-03-10,437,2026-03-16,60,1,1
2666234,active,2025-10-06,223,2026-01-12,125,1,1
2666264,active,2025-03-10,431,,0,0,0
2666269,active,2025-03-10,437,,0,0,0
2666277,active,2025-03-10,435,2026-03-02,77,1,1
2666293,active,2025-03-10,436,2026-03-16,60,1,1
2666294,active,2025-03-10,437,2026-02-02,107,1,1
2666297,active,2025-03-31,412,,0,0,0
2666305,active,2025-12-29,139,2026-02-09,96,1,1
2666306,active,2025-09-01,262,2026-03-16,60,1,1
2666312,active,2025-03-10,437,2026-03-30,46,1,1
2666322,active,2025-03-10,437,2026-02-16,89,1,1
2666323,active,2026-01-12,125,2026-02-09,98,1,1
2666353,active,2025-03-17,430,2026-04-27,18,1,1
2666365,active,2025-03-10,436,,4,0,0
2666367,active,2025-04-07,404,2026-03-23,57,1,1
2666384,active,2025-04-07,405,,0,0,0
2666388,active,2025-10-20,213,2026-02-23,83,1,1
2666396,active,2025-03-10,437,2026-04-13,38,1,1
2666409,active,2025-03-31,411,2026-03-23,58,1,1
2666411,active,2025-06-02,350,2025-12-29,137,1,1
2666425,newbie,2026-04-20,28,2026-04-27,22,1,1
2666426,active,2025-03-10,437,,3,0,0
2666427,active,2025-03-17,424,,0,0,0
2666429,active,2025-03-10,437,2026-03-09,67,1,1
2666432,active,2025-03-10,437,,0,0,0
2666435,active,2025-03-10,437,,0,0,0
2666438,active,2025-03-10,437,2026-02-16,88,1,1
2666444,active,2025-10-06,224,2026-02-09,95,1,1
2666446,active,2025-05-05,381,2026-04-27,18,1,1
2666450,active,2025-03-10,437,,0,0,0
2666455,active,2025-03-10,437,2026-04-13,36,1,1
2666475,active,2026-03-30,51,,4,0,0
2666485,active,2025-04-07,404,,0,0,0
2666488,active,2025-03-10,437,,0,0,0
2666493,active,2025-03-10,437,,11,0,0
2666495,active,2025-03-10,437,,0,0,0
2666499,active,2025-04-07,405,,3,0,0
2666517,active,2025-03-10,437,2026-02-16,92,1,1
2666521,active,2025-03-10,436,,0,0,0
2666524,active,2025-03-10,437,,0,0,0
2666528,active,2025-05-19,362,2026-02-02,102,1,1
2666531,active,2025-04-21,392,2026-02-02,108,1,1
2666532,active,2025-03-17,424,,4,0,0
2666547,active,2025-03-10,432,2026-04-20,25,1,1
2666548,active,2025-03-10,431,,5,0,0
2666549,active,2025-03-17,427,,4,0,0
2666552,active,2025-04-07,408,,0,0,0
2666568,active,2025-04-07,405,2026-03-02,77,1,1
2666581,active,2025-03-10,437,,0,0,0
2666584,active,2025-03-24,419,2026-01-19,121,1,1
2666588,active,2025-06-02,349,2026-04-20,25,1,1
2666591,active,2025-03-10,437,2026-03-30,49,1,1
2666596,active,2026-01-26,111,2026-02-02,102,1,1
2666597,active,2026-03-30,48,,0,0,0
2666612,active,2025-03-10,437,2026-04-13,38,1,1
2666613,active,2025-07-28,297,,0,0,0
2666615,active,2025-03-10,437,2026-04-06,45,1,1
2666624,active,2025-03-10,437,,12,0,0
2666632,active,2025-03-10,437,2026-04-13,32,1,1
2666654,active,2025-03-10,436,2026-03-16,64,1,1
2666656,active,2026-03-09,69,2026-05-04,14,1,1
2666674,active,2025-03-24,418,,12,0,0
2666686,active,2026-01-12,126,,0,0,0
2666687,active,2025-05-05,375,2026-04-27,20,1,1
2666688,active,2025-04-14,398,,11,0,0
2666689,active,2025-03-10,437,,0,0,0
2666693,active,2026-01-12,124,,0,0,0
2666705,active,2026-02-23,82,2026-02-23,82,1,1
2666715,active,2025-11-10,189,,5,0,0
2666746,active,2025-03-17,430,,0,0,0
2666747,active,2025-12-29,139,2026-01-19,120,1,1
2666758,active,2025-03-10,437,,0,0,0
2666759,active,2025-06-09,344,,0,0,0
2666775,active,2025-03-10,437,2026-01-26,109,1,1
2666777,active,2025-05-05,380,,9,0,0
2666781,active,2025-03-10,437,,11,0,0
2666789,active,2025-04-07,403,2026-04-27,24,1,1
2666791,active,2025-11-03,197,,0,0,0
2666797,active,2025-03-10,437,2026-04-20,26,1,1
2666798,active,2025-03-10,436,2026-04-27,18,1,1
2666834,active,2025-03-17,424,,0,0,0
2666835,active,2025-03-10,433,2026-01-05,136,1,1
2666838,active,2025-03-10,432,,5,0,0
2666863,active,2025-03-10,437,2026-04-27,18,1,1
2666885,active,2025-12-22,149,,0,0,0
2666893,active,2025-05-19,364,2026-03-02,76,1,1
2666902,active,2025-03-10,437,,0,0,0
2666916,active,2025-03-10,436,2026-03-02,74,1,1
2666924,active,2025-04-21,392,,7,0,0
2666928,newbie,2026-05-04,15,,0,0,0
2666953,active,2026-02-23,87,,1,0,0
2666961,active,2025-03-10,436,2026-03-09,67,1,1
2666963,active,2025-03-10,437,2026-03-02,76,1,1
2666981,active,2025-03-10,437,,4,0,0
2666984,active,2025-05-26,358,2026-01-12,129,1,1
2667014,active,2025-03-10,437,2026-04-20,25,1,1
2667019,active,2025-03-10,437,,0,0,0
2667027,active,2025-03-10,436,,1,0,0
2667034,active,2026-03-09,67,,0,0,0
2667040,active,2025-03-10,437,,7,0,0
