rank,feature,abs_coef
1,num__all_shifts_W5,13.719863781539097
2,num__shifts_done_W5,11.932871197380376
3,num__no_shows_W5,9.680816708656216
4,num__all_shifts_W6,7.536361325886445
5,num__shifts_done_W1,6.0003446574981325
6,num__shifts_done_W6,5.851646880760197
7,num__all_shifts_W1,5.547005408547934
8,num__no_shows_W6,4.864990822701722
9,num__net_cpo_lc_W5,4.173693459649008
10,num__contacts_total_tickets_W5,4.160619005825153
11,num__no_shows_wow_delta_W4_W5,4.119989705019042
12,num__all_shifts_per_order_W5,2.9150663210305736
13,num__all_shifts_W4,2.7162884639914084
14,num__all_shifts_W3,2.5702180407311914
15,num__shifts_done_per_order_W5,2.4052356342116172
16,num__shifts_done_W4,2.248935456093388
17,num__shifts_done_W3,2.223345016026436
18,num__total_earnings_per_order_W5,2.2161659850588014
19,num__cpo_local_currency_W5,2.2161659850586
20,num__net_cpo_lc_W6,2.07942456890757
21,num__shifts_done_wow_delta_W0_W1,2.0752307218452133
22,num__all_shifts_wow_delta_W0_W1,2.0343430054092355
23,num__no_shows_per_order_W5,1.9828098098965712
24,num__contacts_total_tickets_W6,1.8555217444955072
25,num__all_shifts_per_order_W6,1.594863756969844
26,num__shifts_done_wow_delta_W2_W3,1.4377587990926843
27,num__shifts_done_per_order_W6,1.421835062934766
28,num__all_shifts_W0,1.398563841745577
29,num__all_shifts_wow_delta_W2_W3,1.306136554850763
30,num__shifts_done_W0,1.203391270092575
31,num__hours_worked_W5,1.181927207192494
32,num__total_earnings_per_order_W6,1.1355449452311503
33,num__cpo_local_currency_W6,1.1355449452311468
34,num__hours_worked_W6,1.1047271885485965
35,cat__segment_active,1.0753399687548661
36,num__all_shifts_per_order_W4,0.9909771279230771
37,num__no_shows_W1,0.9566944384208521
38,num__contacts_total_tickets_wow_delta_W4_W5,0.9511347057628816
39,num__no_shows_per_order_W6,0.9372963069683357
40,num__shifts_done_wow_delta_W1_W2,0.8964672720439635
41,num__compliance_total_violations_per_order_W5,0.8297168897285464
42,num__all_shifts_per_order_wow_delta_W0_W1,0.8276418654491156
43,num__net_cpo_lc_W0,0.8260034042715839
44,num__net_cpo_lc_W3,0.8190494673673939
45,cat__segment_newbie,0.8029829092880664
46,num__compliance_total_violations_per_order_W6,0.7883525765152736
47,num__all_shifts_W2,0.7655410678287947
48,num__shifts_done_W2,0.7275387231813937
49,num__total_bw_orders_per_order_W5,0.7115440157283305
50,num__all_shifts_per_order_W2,0.6911546507754485
51,num__hours_worked_wow_delta_W4_W5,0.6573289683165354
52,num__all_shifts_per_order_wow_delta_W1_W2,0.654369637716377
53,num__all_shifts_wow_delta_W1_W2,0.640383920359614
54,num__no_shows_per_order_W4,0.6261079110681086
55,num__shifts_done_per_order_W4,0.6210325321797326
