bin,count,mean_predicted,observed_rate,calibration_gap
0,5454,2.050583973604632e-05,0.0,2.050583973604632e-05
1,2954,3.607066017996482e-05,0.0,3.607066017996482e-05
2,4204,8.849232066606581e-05,0.0,8.849232066606581e-05
3,4203,0.0006802890925999492,0.0,0.0006802890925999492
4,5215,0.002760528971022812,0.0,0.002760528971022812
5,3203,0.006099255861662489,0.0,0.006099255861662489
6,4385,0.6001018683155124,0.19657924743443558,0.4035226208810768
7,4012,0.9991586040560527,0.06031904287138584,0.9388395611846669
8,4204,0.9999016754948326,0.06826831588962892,0.9316333596052037
9,4204,0.9999789907269291,0.12274024738344434,0.8772387433434847
