event_week,rows,positive_rate
2025-11-17,277,0.0
2025-11-24,996,0.0
2025-12-01,1618,0.0
2025-12-08,2435,0.0
2025-12-15,3100,0.08935483870967742
2025-12-22,3830,0.2600522193211488
2025-12-29,4569,0.29349967170059094
2026-01-05,4962,0.29000403063280933
2026-01-12,5478,0.27053669222343923
2026-01-19,5862,0.23797338792221084
2026-01-26,6194,0.2818856958346787
2026-02-02,6376,0.3337515683814304
2026-02-09,6237,0.36075036075036077
2026-02-16,5901,0.3963734960176241
2026-02-23,5640,0.38971631205673757
2026-03-02,5475,0.348675799086758
2026-03-09,5524,0.32385952208544533
2026-03-16,5741,0.28792893224176974
2026-03-23,5253,0.31467732724157627
2026-03-30,4477,0.4272950636587
2026-04-06,16977,0.12263650821699947
2026-04-13,15941,0.13644062480396463
2026-04-20,14895,0.10191339375629406
2026-04-27,13766,0.02825802702310039
2026-05-04,13377,0.0
